title,type,duration,genre,synopsis,note,episode_nb,season_nb,date,actors,original_language,original_country
Spartacus: le sang des gladiateurs,TV Series,"55,m","Action,Adventure,Biography","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and ..., ",8.5,34,,"October 2, 2010 (France)","Andy Whitfield,Lucy Lawless,Manu Bennett,Daniel Feuerriegel,Peter Mensah,Nick E. Tarabay,Viva Bianca,Liam McIntyre,Pana Hema Taylor,Cynthia Addai-Robinson,Dustin Clare,Heath Jones,Katrina Law,Ellen Hollman,Barry Duffield,Kelvin Taylor,John Hannah,Craig Parker","English,German",United States
I'm Alan Partridge,TV Series,"29,m",,,8.5,12,,"November 3, 1997 (United Kingdom)","Steve Coogan,Simon Greenall,Felicity Montagu,Phil Cornwell,Andrew Burt,Amelia Bullmore,Barbara Durkin,Sally Phillips,James Lance,Tim Dantay,David Schneider,Simon Ludders,Danny Cunningham,Terence Booth,Michael Wardle,Peter Baynham,Polly Kemp,Steve Brody","English,German,French",United Kingdom
Big Little Lies,TV Series,"1,h","Crime,Drama,Mystery","The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.",8.5,14,,"February 20, 2017 (France)","Reese Witherspoon,Nicole Kidman,Shailene Woodley,Adam Scott,Zoë Kravitz,Laura Dern,James Tupper,Alexander Skarsgård,Jeffrey Nordling,Iain Armitage,Darby Camp,Kathryn Newton,Cameron Crovetti,Nicholas Crovetti,Chloe Coleman,Ivy George,Larry Sullivan,Merrin Dungey",English,United States
Sons of Anarchy,TV Series,"45,m","Crime,Drama,Thriller",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,8.5,92,,"October 9, 2009 (France)","Charlie Hunnam,Katey Sagal,Mark Boone Junior,Kim Coates,Tommy Flanagan,Theo Rossi,Dayton Callie,Maggie Siff,Ron Perlman,David Labrava,Ryan Hurst,William Lucking,Michael Ornstein,Winter Ave Zoli,Jimmy Smits,Niko Nicotera,Chris Reed,Drea de Matteo",English,United States
Samurai Jack,TV Series,"25,m","Animation,Action,Adventure","A samurai, sent through time, fights to return home and save the world.",8.5,62,,"August 10, 2001 (United States)","Phil LaMarr,Mako,Kevin Michael Richardson,Jeff Bennett,Grey Griffin,Tara Strong,Tom Kenny,Daran Norris,Greg Baldwin,John DiMaggio,Jennifer Hale,Dee Bradley Baker,Sab Shimono,Richard McGonagle,Lauren Tom,Keone Young,Rob Paulsen,Clyde Kusatsu",English,United States
Whose Line Is It Anyway?,TV Series,"30,m","Comedy,Game-Show","Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audien..., ",8.5,220,,"August 5, 1998 (United States)","Drew Carey,Colin Mochrie,Ryan Stiles,Laura Hall,Wayne Brady,Linda Taylor,Greg Proops,Brad Sherwood,Cece Worrall Rubin,Charles Esten,Kathryn Greenwood,Denny Siegel,Anne King,Jeff Bryan Davis,Anna Wanselius,Kathy Griffin,Karen Maruyama,Whoopi Goldberg",English,"United States,United Kingdom"
Mr Inbetween,TV Series,"30,m","Crime,Drama","In Mr Inbetween, Ryan plays ""Ray Shoesmith,"" a father, ex-husband, boyfriend and best friend: tough roles to juggle in the modern age. Even harder when you're a criminal for hire.",8.6,26,,"August 11, 2021 (France)","Scott Ryan,Chika Yasumura,Justin Rosniak,Damon Herriman,Brooke Satchwell,Nicholas Cassim,Natalie Tran,Matt Nable,Lizzie Schebesta,Jed,Jeremy Sims,Kenny Graham,Eddie Baroo,Josh McConville,Kieran Darcy-Smith,David Michôd,Scott Harrison,Rose Riley",English,Australia
Ezel,TV Series,"1,h, ,30,m","Crime,Drama,Thriller","Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",8.6,71,,"March 15, 2017 (France)","Kenan Imirzalioglu,Cansu Dere,Yigit Özsener,Baris Falay,Tuncel Kurtiz,Bade Iscil,Sarp Akkaya,Bayazit Gülercan,Ipek Bilgin,Nurhan Özenen,Baris Serma,Ataberk Ural,Burçin Terzioglu,Riza Kocaoglu,Salih Kalyon,Kemal Uçar,Levent Can,Mert Akbas",Turkish,Turkey
The Night Of,TV Mini Series,"8,h, ,45,m","Crime,Drama,Mystery","After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.",8.5,8,1 Season,"June 24, 2016 (United States)","Riz Ahmed,John Turturro,Bill Camp,Amara Karan,Payman Maadi,Jeannie Berlin,Poorna Jagannathan,Michael Kenneth Williams,Paul Sparks,Syam M. Lafi,David Cheekz Weeks,Sofia Black-D'Elia,Afton Williamson,Paulo Costanzo,Nabil Elouahabi,Mustafa Shakir,Joshua Bitton,Lord Jamar",English,United States
Chef's Table,TV Series,"50,m",Documentary,"Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents a..., ",8.5,30,,"April 26, 2015 (France)","Massimo Bottura,Ruth Reichl,Francis Mallmann,Dan Barber,Bill Buford,Niki Nakayama,Magnus Nilsson,Lara Gilmore,Ben Shewry,David Chang,Grant Achatz,Dominique Crenn,Enrique Olvera,Daniel Humm,Ana Ros,Gaggan Anand,Alex Atala,Anna Morelli",English,United States
The Office,TV Series,"30,m","Comedy,Drama","The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily liv..., ",8.5,14,,"September 7, 2002 (France)","Ricky Gervais,Martin Freeman,Mackenzie Crook,Lucy Davis,Ewen MacIntosh,Ben Bradshaw,Jamie Deeks,Jane Lucas,Emma Manton,Alexander Perkins,Philip Pickard,Joel Beckett,Patrick Baladi,Julie Fernandez,Rachel Isaac,Howard Saddler,Stirling Gallacher,Ralph Ineson",English,United Kingdom
Spartacus: les dieux de l'arène,TV Mini Series,"5,h, ,31,m","Action,Adventure,Biography","In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",8.5,6,1 Season,"January 21, 2011 (United States)","John Hannah,Manu Bennett,Peter Mensah,Dustin Clare,Nick E. Tarabay,Lucy Lawless,Craig Walsh-Wrightson,Lesley-Ann Brandt,Antonio Te Maioha,Stephen Lovatt,Shane Rangi,Jessica Grace Smith,Raicho Vasilev,Ioane King,Marisa Ramirez,Gareth Williams,Jeffrey Thomas,Jaime Murray","English,Assyrian Neo-Aramaic",United States
Shameless,TV Series,"46,m","Comedy,Drama","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",8.5,134,,"September 15, 2011 (France)","Emmy Rossum,William H. Macy,Ethan Cutkosky,Jeremy Allen White,Shanola Hampton,Steve Howey,Emma Kenney,Cameron Monaghan,Michael Patrick McGill,Noel Fisher,Jim Hoffmaster,Brenden Sims,Isidora Goreshter,Christian Isaiah,Joan Cusack,Justin Chatwin,Scott Michael Campbell,Kate Miner",English,United States
The Expanse,TV Series,"1,h","Drama,Mystery,Sci-Fi","In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",8.5,62,,"November 3, 2016 (France)","Wes Chatham,Steven Strait,Dominique Tipper,Shohreh Aghdashloo,Cas Anvar,Frankie Adams,Cara Gee,Shawn Doyle,Thomas Jane,Florence Faivre,Chad L. Coleman,Nadine Nicole,Keon Alexander,Jasai Chase Owens,Andrew Rotilio,Nick E. Tarabay,Anna Hopkins,David Strathairn",English,"Canada,United States"
Hannibal,TV Series,"44,m","Crime,Drama,Horror",Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,8.5,39,,"September 25, 2013 (France)","Hugh Dancy,Mads Mikkelsen,Caroline Dhavernas,Laurence Fishburne,Scott Thompson,Aaron Abrams,Gillian Anderson,Hettienne Park,Kacey Rohl,Lara Jean Chorostecki,Raúl Esparza,Vladimir Jon Cubrt,Katharine Isabelle,Kalen Davidson,Eddie Izzard,Richard Armitage,Gina Torres,Rutina Wesley",English,United States
Génération Kill,TV Mini Series,"1,h, ,10,m","Drama,War","A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.",8.5,7,1 Season,"July 13, 2008 (United States)","Alexander Skarsgård,James Ransone,Lee Tergesen,Jon Huertas,Stark Sands,Billy Lush,Jonah Lotan,Wilson Bethel,Pawel Szajda,Marc Menchaca,Rey Valentin,Kellan Lutz,Mike Figueroa,Rudy Reyes,Rich McDonald,Eric Ladin,Chance Kelly,Eric Nenninger",English,"United States,United Kingdom"
Louie,TV Series,"22,m","Comedy,Drama","The life of Louie C.K., a divorced comedian living in New York with two kids.",8.5,61,,"October 14, 2013 (France)","Louis C.K.,Hadley Delany,Ursula Parker,Pamela Adlon,Steve Fabricant,Susan Kelechi Watson,Nick Di Paolo,Todd Barry,Jim Norton,Robert Kelly,William Stephenson,Edward Gelbinovich,Gary Wilmes,Eszter Balint,Ellen Burstyn,Charles Grodin,Parker Posey,Amy Landecker",English,United States
Impractical Jokers,TV Series,"30,m","Comedy,Reality-TV","Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",8.5,258,,"December 15, 2011 (United States)","Brian Quinn,James Murray,Sal Vulcano,Joe Gatto,Casey Jost,Rob Emmer,Drew Patterson,Bill St. James,Joey Fatone,John Szeluga,Cole Weber,Frank Contacessa,Jay Miller,Daniel Cast,Chase Dominick,Johnna Scrabis,Steven Hopper,Andrew Hood",English,United States
Silicon Valley,TV Series,"28,m",Comedy,"Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",8.5,53,,"April 7, 2014 (France)","Thomas Middleditch,T.J. Miller,Josh Brener,Martin Starr,Kumail Nanjiani,Amanda Crew,Zach Woods,Matt Ross,Jimmy O. Yang,Suzanne Cryer,Chris Diamantopoulos,Chris Williams,Stephen Tobolowsky,Rogelio T. Ramos,Scott Prendergast,Aly Mawji,Jill E. Alexander,Bernard White",English,United States
Les enquêtes de Morse,TV Series,"1,h, ,29,m","Crime,Drama,Mystery","Set from 1965 to 1971, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investig..., ",8.6,33,,"January 26, 2013 (France)","Shaun Evans,Roger Allam,James Bradshaw,Sean Rigby,Anton Lesser,Caroline O'Neill,Abigail Thaw,Sara Vickers,Dakota Blue Richards,Jack Laskey,Jack Bannon,Shvorne Marks,Lewis Peek,Simon Harrison,Carol Royle,Richard Riddell,Mark Arden,Flora London",English,United Kingdom
Skam,TV Series,"30,m","Drama,Romance","The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point..., ",8.6,43,,"February 5, 2018 (France)","Josefine Frida Pettersen,Iman Meskini,Ulrikke Falch,Lisa Teige,Tarjei Sandvik Moe,Ina Svenningdal,Marlon Valdés Langeland,Herman Tømmeraas,Thomas Hayes,Carl Martin Eggesbø,Kristina Ødegaard,Cecilie Martinsen,David Stakston,Henrik Holm,Rakel Øfsti Nesje,Sacha Kleber Nyiligira,Cengiz Al,Simo Mohamed Elhbabi",Norwegian,Norway
Detectorists,TV Series,"30,m",Comedy,"The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",8.6,19,2020,"November 20, 2020 (France)","Mackenzie Crook,Toby Jones,Rachael Stirling,Gerard Horan,Pearce Quigley,Divian Ladwa,Laura Checkley,Sophie Thompson,Orion Ben,Aimee-Ffion Edwards,Simon Farnaby,Paul Casar,Alexa Davies,Lucy Benjamin,Rebecca Callard,Jacob Hill,Daniel Donskoy,Isabella Hill",English,United Kingdom
Letterkenny,TV Series,"30,m",Comedy,"Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",8.6,61,,"February 7, 2016 (Canada)","Jared Keeso,Nathan Dales,Michelle Mylett,Andrew Herr,K. Trevor Wilson,Dylan Playfair,Tyler Johnston,Evan Stern,Patrick McNeil,Lisa Codrington,Jacob Tierney,Kamilla Kowal,Dan Petronijevic,Mark Forward,Jay Bertin,Joel Gagne,Kaniehtiio Horn,Clark Backo",English,Canada
Doctor Who,TV Series,"45,m","Adventure,Drama,Family",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,8.6,200,,"November 5, 2005 (France)","Jodie Whittaker,Peter Capaldi,Pearl Mackie,Matt Smith,David Tennant,Nicholas Briggs,Jon Davey,Jenna Coleman,Paul Kasey,Karen Gillan,Billie Piper,Mandip Gill,Arthur Darvill,Simon Carew,Bradley Walsh,Tosin Cole,Ruari Mears,Freema Agyeman",English,United Kingdom
Brass Eye,TV Series,"25,m",,,8.6,7,,"January 29, 1997 (United Kingdom)","Christopher Morris,Mark Heap,Kevin Eldon,Doon Mackichan,David Cann,Barbara Durkin,Amelia Bullmore,Albert Welling,Gina McKee,Claire Skinner,Bill Moody,Frazer Brown,Peter Baynham,Bill Bailey,Bill Cashmore,Paul Garner,Sinead Griffin-Lennon,Simon Kunz",English,United Kingdom
Fullmetal Alchemist,TV Series,"24,m","Animation,Action,Adventure","When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them; the fabled philosopher's st..., ",8.5,51,1 Season,"February 10, 2004 (France)","Vic Mignogna,Aaron Dismuke,Romi Park,Rie Kugimiya,Maria Tamar,Travis Willingham,Tôru Ohkawa,Colleen Clinkenbeard,Caitlin Glass,Christopher Sabat,Kenji Utsumi,Megumi Toyoguchi,Michiko Neya,Laura Bailey,Yûko Satô,Mike McFarland,Ed Blaylock,Yasunori Matsumoto",Japanese,Japan
Six sexy,TV Series,"30,m",,,8.5,28,,"December 6, 2000 (France)","Jack Davenport,Gina Bellman,Sarah Alexander,Kate Isitt,Ben Miles,Richard Coyle,Richard Mylan,Lou Gish,Olivia Caffrey,Mariella Frostrup,Lloyd Owen,Elizabeth Marmur,Emilia Fox,Adam Astill,Michael Price,Amanda Abbington,Anat Dychtwald,Raji James",English,United Kingdom
Alfred Hitchcock présente,TV Series,"25,m","Comedy,Crime,Drama","Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime c..., ",8.5,268,,"July 12, 1959 (France)","Alfred Hitchcock,Harry Tyler,John Williams,Patricia Hitchcock,Arthur Gould-Porter,Raymond Bailey,Russell Collins,Robert Carson,Barry Harvey,Robert H. Harris,Ray Teal,Bartlett Robinson,David Fresco,Lillian O'Malley,Robert Horton,Percy Helton,Ralph Clanton,Charles Davis",English,United States
Mystery Science Theater 3000,TV Series,"1,h, ,32,m","Comedy,Sci-Fi","In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambo..., ",8.5,199,,"November 24, 1988 (United States)","Joel Hodgson,Michael J. Nelson,Trace Beaulieu,Kevin Murphy,Jim Mallon,Frank Conniff,Mary Jo Pehl,Bill Corbett,Patrick Brantseg,Alexandra Carr,Paul Chaplin,J. Elvis Weinstein,Bridget Jones,Beez McKeever,Peter Rudrud,Bradley J. Keely,Nathan Molstead,Timothy Scott",English,United States
"Yes, Prime Minister",TV Series,"30,m",,,8.6,16,,"January 9, 1986 (United Kingdom)","Paul Eddington,Nigel Hawthorne,Derek Fowlds,Diana Hoddinott,Deborah Norton,John Nettleton,Peter Cellier,Miranda Forbes,Frederick Treves,Antony Carrick,Barry Stanton,Donald Pickering,Peter Cartwright,Michael Aldridge,John Barron,Clive Francis,Frank Middlemass,John Wells",English,United Kingdom
The IT Crowd,TV Series,"25,m",Comedy,"The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",8.5,25,,"November 14, 2007 (France)","Chris O'Dowd,Richard Ayoade,Katherine Parkinson,Matt Berry,Christopher Morris,Noel Fielding,Graham Linehan,Tom Binns,Lewis Macleod,Belinda Stewart-Wilson,Peter Serafinowicz,Gemma Chan,Cordelia Bugeja,Togo Igawa,John Willie Hopkins,Dolly Wells,Pete Deagle,Ben Moor",English,United Kingdom
Homicide,TV Series,"1,h","Crime,Drama,Mystery",Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,8.6,122,,"April 3, 1998 (France)","Richard Belzer,Clark Johnson,Yaphet Kotto,Kyle Secor,Andre Braugher,Melissa Leo,Reed Diamond,Sharon Ziman,Peter Gerety,Jon Seda,Toni Lewis,Isabella Hofmann,Callie Thorne,Clayton LeBouef,Zeljko Ivanek,Max Perlich,Daniel Baldwin,Ned Beatty",English,United States
Mr. Robot,TV Series,"49,m","Crime,Drama,Thriller","Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to t..., ",8.5,45,,"September 19, 2016 (France)","Rami Malek,Christian Slater,Carly Chaikin,Martin Wallström,Portia Doubleday,Michael Cristofer,Grace Gummer,BD Wong,Stephanie Corneliussen,Vaishnavi Sharma,Gloria Reuben,Sunita Mani,Azhar Khan,Joey Bada$$,Omar Metwally,Michael Drayer,Michel Gill,Jeremy Holm","English,Swedish,Danish,Chinese,Persian,Spanish,Samoan,Arabic,German",United States
Dragon Ball,TV Series,"24,m","Animation,Action,Adventure","Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once a..., ",8.5,153,,"September 9, 1995 (United States)","Brice Armstrong,Steve Olson,Stephanie Nadolny,Zoe Slusar,Christopher Sabat,Tiffany Vollmer,Leda Davies,Mike McFarland,Monika Antonelli,Victor Atelevich,Chris Simms,Bradford Jackson,Mike Thiessen,Laurie Steele,Meredith McCoy,John Burgmeier,Rocío Garcel,Chuck Huber","English,Japanese",Japan
Mob Psycho 100,TV Series,"24,m","Animation,Action,Comedy","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",8.6,25,,"July 12, 2016 (France)","Setsuo Ito,Takahiro Sakurai,Akio Ôtsuka,Miyu Irino,Yoshitsugu Matsuoka,Ryunosuke Watanuki,Yoshimasa Hosoya,Daiki Hamano,Seiichiro Yamashita,Kyle McCarley,Chris Niosi,Toshihiko Seki,Kôhei Amasaki,Max Mittelman,Landon McDonald,Jade Dennis,Atsumi Tanezaki,Chris Hackney",Japanese,Japan
Soleil noir,TV Series,"1,h",,,8.8,20,,"September 23, 2020 (France)","Andrija Kuzmanovic,Marija Bergam,Dragan Bjelogrlic,Jovana Stojiljkovic,Nenad Jezdic,Gordan Kicic,Goran Bogdan,Aleksandar Gligoric,Nebojsa Dugalic,Aleksandar Stojkovic,Slobodan 'Boda' Ninkovic,Branimir Brstina,Marko Zivic,Milos Samolov,Srdjan 'Zika' Todorovic,Toni Mihajlovski,Petre Arsovski,Vojislav 'Voja' Brajovic","Serbian,Russian,Macedonian,German,Slovenian",Serbia
Adventure Time avec Finn et Jake,TV Series,"11,m","Animation,Action,Adventure","A 12-year-old boy and his best friend, wise 28-year-old dog with magical powers, go on a series of surreal adventures with each other in a remote future.",8.6,289,,"June 12, 2011 (France)","John DiMaggio,Jeremy Shada,Tom Kenny,Hynden Walch,Niki Yang,Pendleton Ward,Dee Bradley Baker,Maria Bamford,Steve Little,Olivia Olson,Kent Osborne,Cole Sanchez,Polly Lou Livingston,Jessica DiCicco,Andy Milonakis,Jackie Buscarino,Tom Herpich,Justin Roiland","English,Korean","United States,South Korea"
Flight of the Conchords,TV Series,"28,m","Comedy,Music,Musical","Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",8.5,22,,"March 22, 2008 (France)","Jemaine Clement,Bret McKenzie,Rhys Darby,Kristen Schaal,Arj Barker,Frank Wood,Eugene Mirman,David Costabile,Sutton Foster,Rachel Blanchard,Brian Sergent,Adrian Martinez,Lenny Venito,José Ramón Rosario,Kelly Taffe,Victor Williams,Will Forte,Aziz Ansari",English,"United States,New Zealand"
Pose,TV Series,"1,h",Drama,"In the New York of the late 80s and early 90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis and capitalism.",8.6,26,,"June 6, 2018 (France)","Michaela Jaé (MJ) Rodriguez,Dominique Jackson,Indya Moore,Angel Bismark Curiel,Billy Porter,Hailie Sahar,Dyllon Burnside,Jason A. Rodriguez,Ryan Jamaal Swain,Jeremy McClain,Angelica Ross,Sandra Bernhard,Alexia Garcia,Jiggly Caliente,Jack Mizrahi,Leiomy Maldonado,Evan Peters,Charlayne Woodard",English,United States
Dragon Ball,TV Series,"24,m","Animation,Action,Adventure","Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",8.5,153,1 Season,"March 2, 1988 (France)","Masako Nozawa,Jôji Yanami,Brice Armstrong,Stephanie Nadolny,Hiromi Tsuru,Mayumi Tanaka,Tôru Furuya,Naoko Watanabe,Kôhei Miyauchi,Naoki Tatsuta,Mami Koyama,Kenji Utsumi,Hirotaka Suzuoki,Noeli Santisteban,Daisuke Gôri,Takeshi Aono,Tesshô Genda,Hiroko Emori",Japanese,Japan
Twin Peaks: The Return,TV Series,"1,h","Crime,Drama,Fantasy",Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,8.5,18,1 Season,"May 25, 2017 (France)","Kyle MacLachlan,Sheryl Lee,Michael Horse,Chrysta Bell,Miguel Ferrer,David Lynch,Robert Forster,Kimmy Robertson,Naomi Watts,Laura Dern,Pierce Gagnon,Harry Goaz,Al Strobel,John Pirruccello,Don Murray,Mädchen Amick,Dana Ashbrook,Brent Briscoe","English,French",United States
Boardwalk Empire,TV Series,"55,m","Crime,Drama,History",An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,8.5,57,,"December 19, 2010 (France)","Steve Buscemi,Kelly Macdonald,Michael Shannon,Shea Whigham,Stephen Graham,Vincent Piazza,Michael Kenneth Williams,Paul Sparks,Gretchen Mol,Michael Stuhlbarg,Anthony Laciura,Jack Huston,Anatol Yusef,Brady Noon,Connor Noon,Lucy Gallina,Josie Gallina,Declan McTigue",English,United States
De la Terre à la Lune,TV Mini Series,"1,h","Action,Drama,History",Dramatized portrayal of the Apollo manned space program.,8.6,12,1 Season,"June 29, 1999 (France)","Tom Hanks,Nick Searcy,Lane Smith,David Andrews,Daniel Hugh Kelly,Stephen Root,David Clyde Carr,Tim Daly,Steve Hofvendahl,Conor O'Farrell,Brett Cullen,Cary Elwes,Ben Marley,Mike Pniewski,Holmes Osborne,Tom Verica,John Posey,Rita Wilson",English,United States
What We Do in the Shadows,TV Series,"30,m","Comedy,Fantasy,Horror","A look into the daily (or rather, nightly) lives of three vampires, who've lived together for over 100 years, on Staten Island.",8.6,31,,"March 28, 2019 (France)","Kayvan Novak,Matt Berry,Natasia Demetriou,Harvey Guillén,Mark Proksch,Kristen Schaal,Doug Jones,Anthony Atamanuik,Veronika Slowikowska,Jake McDorman,Beanie Feldstein,Gloria Laino,Karly Bon,Kae Kae Lee,Indiana Mehta,Taika Waititi,Gavin Fox,Chris Sandiford",English,United States
Samurai chanpurû,TV Series,"24,m","Animation,Action,Adventure","Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",8.5,26,1 Season,"January 3, 2006 (France)","Kazuya Nakai,Ginpei Sato,Ayako Kawasumi,Steve Blum,Kirk Thornton,Kari Wahlgren,Doug Stone,Erik Davies,Masakazu Kohara,Tsuguo Mogami,Shunsuke Sakuya,Yoshinori Sonobe,Masao Harada,Takehiro Murozono,Paul St. Peter,Steve Kramer,Kim Strauss,Doug Erholtz",Japanese,Japan
Long Way Round,TV Mini Series,"5,h, ,15,m","Documentary,Adventure","This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongol..., ",8.6,10,1 Season,"October 18, 2004 (United Kingdom)","Ewan McGregor,Charley Boorman,David Alexanian,Russ Malkin,Claudio von Planta,Jimmy Simak,Eve Mavrakis,Olly Boorman,Doone Boorman,Kinvara Boorman,Jim McGregor,John Boorman,Christel Kruse Boorman,Carol McGregor,Daisy Boorman,Margrit von Planta,Natalie Portman,Paul Teutul Sr.",English,United Kingdom
Neon Genesis Evangelion,TV Series,"24,m","Animation,Action,Drama",A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,8.5,26,1 Season,"October 25, 1997 (France)","Megumi Ogata,Megumi Hayashibara,Kotono Mitsuishi,Spike Spencer,Allison Keith,Sue Ulu,Amanda Winn Lee,Tristan MacAvery,Tiffany Grant,Guil Lunde,Matt Greenfield,Kendra Benham,Jason Lee,Casey Mongillo,Carrie Keranen,Erica Lindbeck,Ryan Bartley,Pedro de Aguillón",Japanese,Japan
La Ligue des justiciers,TV Series,"22,m","Animation,Action,Adventure",Seven of the most formidable heroes form arguably the most powerful team ever.,8.5,52,,"March 3, 2002 (France)","Carl Lumbly,Phil LaMarr,Michael Rosenbaum,George Newbern,Maria Canals-Barrera,Kevin Conroy,Susan Eisenberg,Jason Marsden,Mark Hamill,Clancy Brown,Corey Burton,Jennifer Hale,Phil Morris,Olivia d'Abo,Susan Sullivan,Richard Doyle,Brian George,Kevin Michael Richardson",English,United States
Naruto: Shippuden,TV Series,"24,m","Animation,Action,Adventure","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of..., ",8.6,502,,"September 5, 2008 (France)","Junko Takeuchi,Maile Flanagan,Kate Higgins,Chie Nakamura,Dave Wittenberg,Kazuhiko Inoue,Kyle Hebert,Yuri Lowenthal,Noriaki Sugiyama,Masako Katsuki,Debi Mae West,Colleen O'Shaughnessey,Steve Blum,Stephanie Sheh,Shôtarô Morikubo,Tom Gibis,Rikiya Koyama,Troy Baker","English,Japanese",Japan
Les allumés,TV Series,"25,m","Action,Comedy","Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",8.5,14,,"May 14, 2001 (France)","Simon Pegg,Jessica Hynes,Julia Deakin,Nick Frost,Mark Heap,Katy Carmichael,Aida the Dog,Lucy Akhurst,Anna Wilson-Jones,Bill Bailey,James Lance,Peter Serafinowicz,Clive Russell,Sally Grace,Rowena Cooper,Michael Smiley,Gemma Padley,Jonathan Ryland",English,United Kingdom
Mr. Bean,TV Series,"25,m","Comedy,Family","Bumbling, childlike Mr. Bean has trouble completing the simplest of tasks in day-to-day life, but his perseverance and resourcefulness frequently allow him to find ingenious ways around prob..., ",8.5,15,1 Season,"September 8, 1996 (France)","Rowan Atkinson,Robin Driscoll,Matilda Ziegler,Matthew Ashforde,Roger Sloman,Susie McKenna,Nick Hancock,C.J. Allen,Rupert Vansittart,Howard Goodall,Hugo Mendez,Christopher Driscoll,Rupert Bates,Angus Deayton,Paul Bown,Dave O'Higgins,Richard Wilson,Michael Fenton Stevens",English,United Kingdom
Nord et Sud,TV Mini Series,"3,h, ,55,m","Drama,Romance","North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.",8.6,4,1 Season,"November 14, 2004 (United Kingdom)","Daniela Denby-Ashe,Richard Armitage,Tim Pigott-Smith,Sinéad Cusack,Brendan Coyle,Pauline Quirke,Jo Joyner,Kay Lyon,Lesley Manville,Anna Maxwell Martin,Emma Owen,Jane Booker,Tom Charnock,William Houston,John Light,Brian Protheroe,Will Tacey,Lucy Brown",English,United Kingdom
