title,type,duration,genre,synopsis,note,episode_nb,season_nb,date,actors,original_language,original_country
Planète des hommes,TV Mini Series,"50,m",Documentary,"Like all life forms, humanity partially adapts to types of natural environment, yet also tends to change them. Each episode examines how life differs for men and nature in some type of envir..., ",9.0,8,1 Season,"January 13, 2011 (United Kingdom)","John Hurt,Roger Munns",English,United Kingdom
Batman,TV Series,"23,m","Animation,Action,Adventure",The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,9.0,85,,"December 5, 1992 (France)","Kevin Conroy,Loren Lester,Efrem Zimbalist Jr.,Bob Hastings,Robert Costanzo,Mari Devon,Mark Hamill,Richard Moll,Lloyd Bochner,Arleen Sorkin,John Vernon,Adrienne Barbeau,Brock Peters,Diane Pershing,Paul Williams,Ingrid Oliu,Neil Ross,Aron Kincaid",English,United States
The Blue Planet,TV Mini Series,"6,h, ,29,m",Documentary,"Mammoth series, five years in the making, taking a look at the rich tapestry of life in the world's oceans.",9.0,8,1 Season,"September 12, 2001 (United Kingdom)","David Attenborough,Pierce Brosnan",English,United Kingdom
La quatrième dimension,TV Series,"51,m","Drama,Fantasy,Horror","Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",9.0,156,,"February 6, 1965 (France)","Rod Serling,Robert McCord,Jay Overholts,Vaughn Taylor,David Armstrong,James Turley,Jack Klugman,Burgess Meredith,John Anderson,J. Pat O'Malley,Barney Phillips,George Mitchell,Cyril Delevanti,Jon Lormer,John McLiam,Bill Erwin,Nan Peterson,Lew Brown",,United States
SCAM 1992: The Harshad Mehta Story,TV Series,"54,m","Biography,Crime,Drama","Set in 1980's and 90's Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",9.5,10,1 Season,"October 9, 2020 (India)","Pratik Gandhi,Shreya Dhanwanthary,Hemant Kher,Anjali Barot,Chirag Vohra,Brinda Trivedi,Jay Upadhyay,Kumkum Das,Anant Mahadevan,Faisal Rashid,Nikhil Dwivedi,Kavin Dave,Paresh Ganatra,Himanshu Kohli,Aakanksha Gade,K.K. Raina,Raghav Raj Kakker,Kartik Krishnan",Hindi,India
The Vietnam War,TV Mini Series,"16,h, ,30,m",,,9.1,10,1 Season,"September 17, 2017 (United States)","Peter Coyote,Huy Duc,James Willbanks,Duong Van Mai Elliott,John Musgrave,Phan Quang Tue,Karl Marlantes,Nguyen Ngoc,Bao Ninh,Bill Zimmerman,Leslie Gelb,Hal Kushner,Roger Harris,Carol Crocker,Tim O'Brien,Jack Todd,Bui Diem,Robert Gard",English,
Sherlock,TV Series,"1,h, ,28,m","Crime,Drama,Mystery",A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,9.1,15,,"January 1, 2011 (France)","Benedict Cumberbatch,Martin Freeman,Una Stubbs,Rupert Graves,Louise Brealey,Mark Gatiss,Andrew Scott,Amanda Abbington,Jonathan Aris,Vinette Robinson,Lindsay Duncan,Yasmine Akram,Sian Brooke,Tanya Moodie,Simon Kunz,Wanda Ventham,Timothy Carlton,Lisa McAllister",English,"United Kingdom,United States"
Fullmetal Alchemist: Brotherhood,TV Series,"24,m","Animation,Action,Adventure",Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,9.1,69,1 Season,"October 19, 2009 (France)","Kent Williams,Iemasa Kayumi,Vic Mignogna,Romi Park,Muriel Hofmann,Lili Troncale,Rie Kugimiya,Maxey Whitehead,Travis Willingham,Shin'ichirô Miki,Colleen Clinkenbeard,Fumiko Orikasa,Kenta Miyake,J. Michael Tatum,Yuki Hayashi,Caitlin Glass,Monica Rial,Megumi Takamoto",Japanese,Japan
"Life, l'aventure de la vie",TV Mini Series,"7,h, ,53,m",Documentary,"David Attenborough 's legendary BBC crew explains and shows wildlife all over planet earth in 10 episodes. The first is an overview of the challenges facing life, the others are dedicated to..., ",9.1,11,1 Season,"October 12, 2009 (United Kingdom)","Oprah Winfrey,David Attenborough,Doug Allan,Roger Munns,Justine Evans,Jonathan Smith,Michael Pitts,Barrie Britton,Neil Lucas,Kevin Flay,Matthew Swarbrick,Nick Guy,Stephen Lyle,Doug Anderson,Adam Chapman,Martha Holmes,Mike Pitts,Rick Rosenthal",English,"United Kingdom,United States,Greece,Italy,Germany"
The Last Dance,TV Mini Series,"8,h, ,11,m","Documentary,Biography,History","Charting the rise of the 1990's Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",9.1,10,1 Season,"April 20, 2020 (France)","Michael Jordan,Phil Jackson,Scottie Pippen,David Aldridge,Steve Kerr,Michael Wilbon,Andrea Kremer,Deloris Jordan,Bill Wennington,John Paxson,Dennis Rodman,Ahmad Rashad,Bob Costas,David Stern,Jerry Reinsdorf,B.J. Armstrong,Mark Vancil,Sam Smith",English,United States
The World at War,TV Series,"52,m",,,9.2,26,1 Season,"October 31, 1973 (United Kingdom)","Laurence Olivier,Albert Speer,Averell Harriman,Anthony Eden,Siegfried Westphal,Lawrence Durrell,Toshikazu Kase,J. Lawton Collins,Louis Mountbatten,Wynford Vaughan-Thomas,J.B. Priestley,Adolf Galland,Christabel Bielenberg,John J. McCloy,Hasso von Manteuffel,Emmi Bonhoeffer,R.A. Butler,J.G. Smyth","English,German,French,Japanese",United Kingdom
Rick et Morty,TV Series,"23,m","Animation,Adventure,Comedy",An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,9.2,52,,"October 9, 2015 (France)","Justin Roiland,Chris Parnell,Spencer Grammer,Sarah Chalke,Kari Wahlgren,Dan Harmon,Maurice LaMarche,Tom Kenny,Brandon Johnson,Ryan Ridley,Nolan North,Cassie Steele,Phil Hendrie,Echo Kellum,Keith David,Rob Schrab,Rob Paulsen,Tara Strong",English,United States
Les Soprano,TV Series,"55,m","Crime,Drama","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseli..., ",9.2,86,,"September 5, 1999 (France)","James Gandolfini,Lorraine Bracco,Edie Falco,Michael Imperioli,Steven Van Zandt,Robert Iler,Tony Sirico,Jamie-Lynn Sigler,Dominic Chianese,Aida Turturro,Steve Schirripa,Drea de Matteo,Dan Grimaldi,Joseph R. Gannascoli,Sharon Angela,John Ventimiglia,Vincent Curatola,Frank Vincent","English,Italian,Russian",United States
Game of Thrones,TV Series,"57,m","Action,Adventure,Drama","Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",9.2,73,,"June 5, 2011 (France)","Emilia Clarke,Peter Dinklage,Kit Harington,Lena Headey,Sophie Turner,Maisie Williams,Nikolaj Coster-Waldau,Iain Glen,John Bradley,Alfie Allen,Conleth Hill,Liam Cunningham,Gwendoline Christie,Aidan Gillen,Isaac Hempstead Wright,Rory McCann,Nathalie Emmanuel,Jerome Flynn",English,"United States,United Kingdom"
Arcane,TV Series,"41,m","Animation,Action,Adventure","Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.",9.4,10,,"November 7, 2021 (France)","Kevin Alejandro,Jason Spisak,Hailee Steinfeld,Harry Lloyd,Toks Olagundoye,JB Blanc,Remy Hii,Dave B. Mitchell,Amirah Vann,Mia Sinclair Jenness,Katie Leung,Josh Keaton,Ella Purnell,Mick Wingert,Erica Lindbeck,Yuri Lowenthal,Abigail Marlowe,Reed Shannon",English,"United States,France"
Cosmos,TV Mini Series,"13,h",Documentary,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,9.3,13,1 Season,"September 28, 1980 (United States)","Carl Sagan,Jaromír Hanzlík,Jonathan Fahn,Alan Belod,Jean Charney,Bill Grant,Bob Hevelone,Ronald A. Hilbert,Victor C. John,Arthur 'Lonne' Lane,Linda Morabito,Larry Soderblom,Cecilia White,Dana Hlavácová,Josef Vinklár",,"United States,United Kingdom"
Cosmos: Une odyssée à travers l'univers,TV Mini Series,"9,h, ,17,m",Documentary,An exploration of our discovery of the laws of nature and coordinates in space and time.,9.3,13,1 Season,"March 16, 2014 (France)","Neil deGrasse Tyson,Christopher Emerson,Keythe Farley,Piotr Michael,Enn Reitel,Stoney Emshwiller,André Sogliuzzo,Kirsten Dunst,Amanda Seyfried,Phil LaMarr,Paul Sorvino,Larry Cedar,Christiane Amanpour,Seth MacFarlane,Fred Tatasciore,Martin Jarvis,Glenn Steinbaum,Maria Frucci",English,United States
"Avatar, le dernier maître de l'air",TV Series,"23,m","Animation,Action,Adventure","In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",9.3,62,,"August 27, 2005 (France)","Dee Bradley Baker,Zach Tyler Eisen,Mae Whitman,Jack De Sena,Dante Basco,Michaela Jill Murphy,Mako,Grey Griffin,André Sogliuzzo,Cricket Leigh,Mark Hamill,Jennie Kwan,Olivia Hack,Greg Baldwin,Jim Meskimen,James Garrett,Jason Isaacs,James Sie",English,United States
Notre planète,TV Mini Series,"6,h, ,43,m",Documentary,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and di..., ",9.3,8,1 Season,"April 5, 2019 (France)",David Attenborough,English,"United States,United Kingdom"
Blue Planet II,TV Mini Series,"6,h, ,4,m",Documentary,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans fa..., ",9.3,7,1 Season,"October 29, 2017 (United Kingdom)","David Attenborough,Peter Drost,Roger Munns,Roger Horrocks",English,United Kingdom
Sur écoute,TV Series,"59,m","Crime,Drama,Thriller","The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",9.3,60,,"January 8, 2004 (France)","Dominic West,Lance Reddick,Sonja Sohn,Wendell Pierce,John Doman,Deirdre Lovejoy,Seth Gilliam,Domenick Lombardozzi,Clarke Peters,Andre Royo,Michael Kenneth Williams,Jim True-Frost,Frankie Faison,Corey Parker Robinson,Delaney Williams,J.D. Williams,Wood Harris,Idris Elba","English,Greek,Mandarin,Spanish",United States
Chernobyl,TV Mini Series,"5,h, ,30,m","Drama,History,Thriller","In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",9.4,5,1 Season,"May 7, 2019 (France)","Jessie Buckley,Jared Harris,Stellan Skarsgård,Adam Nagaitis,Emily Watson,Paul Ritter,Robert Emms,Sam Troughton,Karl Davies,Michael Socha,Laura Elphinstone,Jan Ricica,Alan Williams,Adrian Rawlins,Con O'Neill,Douggie McMeekin,Nadia Clifford,David Dencik","English,Russian,Ukrainian","United States,United Kingdom"
Frères d'armes,TV Mini Series,"9,h, ,54,m","Action,Drama,History","The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",9.4,10,1 Season,"July 22, 2002 (France)","Scott Grimes,Damian Lewis,Ron Livingston,Shane Taylor,Donnie Wahlberg,Peter Youngblood Hills,Matthew Leitch,Nicholas Aaron,Philip Barantini,Michael Cudlitz,Dexter Fletcher,Rick Gomez,James Madio,Ross McCall,Doug Allen,George Calil,Nolan Hemmings,Robin Laing","English,Dutch,French,German,Lithuanian","United States,United Kingdom"
Breaking Bad,TV Series,"49,m","Crime,Drama,Thriller",A high school chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine in order to secure his family's future.,9.4,62,,"October 9, 2010 (France)","Bryan Cranston,Aaron Paul,Anna Gunn,Betsy Brandt,RJ Mitte,Dean Norris,Bob Odenkirk,Steven Michael Quezada,Jonathan Banks,Giancarlo Esposito,Charles Baker,Jesse Plemons,Christopher Cousins,Laura Fraser,Matt Jones,Michael Shamus Wiles,Lavell Crawford,Ray Campbell","English,Spanish",United States
Planète Terre,TV Mini Series,"8,h, ,58,m",Documentary,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",9.4,11,1 Season,"February 27, 2006 (United Kingdom)","David Attenborough,Sigourney Weaver,Nikolay Drozdov,Thomas Anguti Johnston,Huw Cordey,Doug Allan,Mark Linfield,Doug Anderson,Tom Clarke,Dany Cleyet-Marrel,Justine Evans,Mike Holding,Chadden Hunter,Choi Jen,Tania Jenkins,Jonathan Keeling,Michael Kelem,Simon King",English,United Kingdom
